2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=9, voltage=3774.8812974190996, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8812974190996, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.8812974190996, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=10, voltage=3774.8818058253255, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8818058253255, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.8818058253255, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=11, voltage=3774.8818933038683, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8818933038683, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.8818933038683, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=12, voltage=3774.8815199368714, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8815199368714, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.8815199368714, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=13, voltage=3774.882092599256, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.882092599256, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.882092599256, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=14, voltage=3774.8816015599054, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8816015599054, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.8816015599054, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=15, voltage=3774.882031986909, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.882031986909, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.882031986909, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:19.808  INFO -ChnData [chnIndex=8, voltage=3773.902595882125, current=2589.7444591279345, capacity=0.4316241628461377, stepElapsedTime=600, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:19.808  INFO -last data:ChnData [chnIndex=0, voltage=3774.238258969149, current=0.0, capacity=0.0, stepElapsedTime=12500, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:50.559  INFO -ChnData [chnIndex=0, voltage=3761.424108304705, current=0.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=3, alertCode=NORMAL, state=RUNNING, workMode=SLEEP, important=true, alertVolt=3761.424108304705, alertCurrent=2590.148038412182, alertCapacity=28.783806643168585, alertTime=40007]
2021-06-02 11:53:50.559  INFO -last data:ChnData [chnIndex=0, voltage=3761.424108304705, current=2590.148038412182, capacity=28.783806643168585, stepElapsedTime=40007, loopIndex=1, stepIndex=2, alertCode=null, state=RUNNING, workMode=DC, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:50.559  INFO -ChnData [chnIndex=0, voltage=3761.4235757314104, current=0.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=3, alertCode=NORMAL, state=RUNNING, workMode=SLEEP, important=true, alertVolt=3761.4235757314104, alertCurrent=2590.47607043869, alertCapacity=28.782961453038574, alertTime=40007]
2021-06-02 11:53:50.559  INFO -last data:ChnData [chnIndex=0, voltage=3761.4235757314104, current=2590.47607043869, capacity=28.782961453038574, stepElapsedTime=40007, loopIndex=1, stepIndex=2, alertCode=null, state=RUNNING, workMode=DC, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:50.559  INFO -ChnData [chnIndex=1, voltage=3761.423189403725, current=0.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=3, alertCode=NORMAL, state=RUNNING, workMode=SLEEP, important=true, alertVolt=3761.423189403725, alertCurrent=2589.531733699044, alertCapacity=28.782262882424664, alertTime=40007]
2021-06-02 11:53:50.559  INFO -last data:ChnData [chnIndex=0, voltage=3761.423189403725, current=2589.531733699044, capacity=28.782262882424664, stepElapsedTime=40007, loopIndex=1, stepIndex=2, alertCode=null, state=RUNNING, workMode=DC, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
